tier,site,plot_id,vegHeight,coverSum,HeightXCover
Peru_2019,QUE,PE_QUE_B_1,15.8,760,12008
Peru_2019,QUE,PE_QUE_B_1,13.8,760,10488
Peru_2019,QUE,PE_QUE_B_2,18,594,10692
Peru_2019,QUE,PE_QUE_B_2,19.8,594,11761.2
Peru_2019,QUE,PE_QUE_B_3,22.6,474,10712.4
Peru_2019,QUE,PE_QUE_B_3,12,474,5688
Peru_2019,QUE,PE_QUE_B_4,23.4,662,15490.8
Peru_2019,QUE,PE_QUE_B_4,14.6,662,9665.2
Peru_2019,QUE,PE_QUE_B_5,19.8,732,14493.6
Peru_2019,QUE,PE_QUE_B_5,13.8,732,10101.6
Peru_2019,TRE,PE_TRE_C_1,22.4,664,14873.6
Peru_2019,TRE,PE_TRE_C_1,27,664,17928
Peru_2019,TRE,PE_TRE_C_2,30.6,488,14932.8
Peru_2019,TRE,PE_TRE_C_2,19.2,488,9369.6
Peru_2019,TRE,PE_TRE_C_3,26,732,19032
Peru_2019,TRE,PE_TRE_C_3,28.2,732,20642.4
Peru_2019,TRE,PE_TRE_C_4,17,560,9520
Peru_2019,TRE,PE_TRE_C_4,31.4,560,17584
Peru_2019,TRE,PE_TRE_C_5,29.4,724,21285.6
Peru_2019,TRE,PE_TRE_C_5,33.8,724,24471.2
Peru_2019,TRE,PE_TRE_NB_1,21.5,310,6665
Peru_2019,TRE,PE_TRE_NB_1,23.2,310,7192
Peru_2019,TRE,PE_TRE_NB_2,19.2,336,6451.2
Peru_2019,TRE,PE_TRE_NB_2,26.4,336,8870.4
Peru_2019,TRE,PE_TRE_NB_3,25.25,386,9746.5
Peru_2019,TRE,PE_TRE_NB_3,18.2,386,7025.2
Peru_2019,TRE,PE_TRE_NB_4,26.25,364,9555
Peru_2019,TRE,PE_TRE_NB_4,23.2,364,8444.8
Peru_2019,TRE,PE_TRE_NB_5,32,461,14752
Peru_2019,TRE,PE_TRE_NB_5,17,461,7837
Peru_2019,WAY,PE_WAY_B_1,41.6,712,29619.2
Peru_2019,WAY,PE_WAY_B_1,32.8,712,23353.6
Peru_2019,WAY,PE_WAY_B_2,32.2,609,19609.8
Peru_2019,WAY,PE_WAY_B_2,41.6,609,25334.4
Peru_2019,WAY,PE_WAY_B_3,18.6,274,5096.4
Peru_2019,WAY,PE_WAY_B_4,34,309.5,10523
Peru_2019,WAY,PE_WAY_B_5,29.4,351.5,10334.1
Peru_2019,WAY,PE_WAY_C_1,34.2,809,27667.8
Peru_2019,WAY,PE_WAY_C_1,20,809,16180
Peru_2019,WAY,PE_WAY_C_2,32.6,691,22526.6
Peru_2019,WAY,PE_WAY_C_2,18.8,691,12990.8
Peru_2019,WAY,PE_WAY_C_3,52.2,901,47032.2
Peru_2019,WAY,PE_WAY_C_3,42,901,37842
Peru_2019,WAY,PE_WAY_C_4,29.2,669,19534.8
Peru_2019,WAY,PE_WAY_C_4,13.8,669,9232.2
Peru_2019,WAY,PE_WAY_C_5,27.4,700,19180
Peru_2019,WAY,PE_WAY_C_5,26,700,18200
Peru_2020,ACJ,PE_ACJ_NB_1,,101,
Peru_2020,ACJ,PE_ACJ_NB_2,,75.5,
Peru_2020,ACJ,PE_ACJ_NB_3,,69,
Peru_2020,ACJ,PE_ACJ_NB_4,,103,
Peru_2020,ACJ,PE_ACJ_NB_5,,78.5,
